# timestamp,tx,ty,tz,qx,qy,qz,qw
10000.994449876,38.465208725,19.536320054,0.716644178,-0.491161996,0.525574906,0.555059735,-0.417659672
10001.031678980,38.532819692,19.262671431,0.719934100,-0.510619675,0.473666605,0.535687762,-0.477437030
10001.065544643,38.528981181,19.271904005,0.731951666,-0.525764365,0.454498954,0.536056200,-0.479214236
10001.099528932,38.549030725,19.262341110,0.749351381,0.536660583,-0.442019528,-0.532745694,0.482489566
10001.132905307,38.564976748,19.248901136,0.761974835,0.545429058,-0.429917227,-0.527331800,0.489489012
10001.166873668,38.584713077,19.233927401,0.773704375,0.551725300,-0.417639769,-0.526658619,0.493768079
10001.199751166,38.601846377,19.226528906,0.788462865,0.558689681,-0.406942239,-0.522740514,0.499005221
10001.233081166,38.623754875,19.219232091,0.800063571,0.561625113,-0.398797701,-0.520893866,0.504189653
10001.264689503,38.646019057,19.215743896,0.814505588,0.569737634,-0.387249237,-0.515137632,0.509970859
10001.298064503,38.668824876,19.212288660,0.824283586,0.570295335,-0.381022165,-0.514525239,0.514634937
10001.331435072,38.693445430,19.208468293,0.833062190,0.570829500,-0.374318311,-0.514274185,0.519193169
10001.364816906,38.718660431,19.207178593,0.840748725,0.571690945,-0.367185872,-0.512568769,0.524992625
10001.396817746,38.749409916,19.207304419,0.843250887,0.574572196,-0.360949760,-0.509127014,0.529501412
10001.430175746,38.774312530,19.207602649,0.848747780,0.576429538,-0.352735790,-0.505301078,0.536635138
10001.463451030,38.795199262,19.211911343,0.857184812,0.581730134,-0.341786572,-0.498689072,0.544133440
10001.496816030,38.821184980,19.213017068,0.862595777,0.585282771,-0.331021890,-0.492148502,0.552863852
10001.529224844,38.840276368,19.221235732,0.862066394,0.588254571,-0.327454635,-0.484440268,0.558612252
10001.562630086,38.866123097,19.223169412,0.867834508,0.592931969,-0.314627843,-0.476440656,0.567842674
10001.595958086,38.893160199,19.225486658,0.873759004,0.597301301,-0.301368825,-0.468209369,0.577224370
10001.629187990,38.918916614,19.228876088,0.876306193,0.601763199,-0.289017996,-0.460831309,0.584794112
10001.660910160,38.956521119,19.207412180,0.871303499,0.606953995,-0.271346382,-0.458843863,0.589440665
10001.694194794,38.984648972,19.206282020,0.875466200,0.608856716,-0.259368172,-0.452955879,0.597371427
10001.727476145,39.015654219,19.202830940,0.881679153,0.609544155,-0.247610752,-0.447774799,0.605510172
10001.761186562,39.043278885,19.201733792,0.883985571,0.609500488,-0.236757535,-0.443871205,0.612726186
10001.794109260,39.078562963,19.196449669,0.891118223,0.607847727,-0.225969873,-0.440240476,0.621004895
10001.826953303,39.113545647,19.204228157,0.894322488,0.604615083,-0.217826905,-0.436670664,0.629532185
10001.860288104,39.140289597,19.202609390,0.893525372,0.601826293,-0.209017337,-0.432905590,0.637737890
10001.893652104,39.174626277,19.207134047,0.894007814,0.597578523,-0.198879636,-0.428206103,0.648063525
10001.926928971,39.207054317,19.211696820,0.896545623,0.594260019,-0.185632958,-0.422911774,0.658438354
10001.960157660,39.233894632,19.213261495,0.898326492,0.591793534,-0.173470243,-0.416131747,0.668223658
10001.993509660,39.268745410,19.215242500,0.900468190,0.590121046,-0.158827467,-0.407141553,0.678798013
10002.026872660,39.304008523,19.216717052,0.903774546,0.588096343,-0.144920603,-0.398448380,0.688752204
10002.060105753,39.332678156,19.199186911,0.919618410,0.586317884,-0.133628376,-0.391728363,0.696364621
10002.093468753,39.366774559,19.200932470,0.925465308,0.581772331,-0.125235109,-0.385991697,0.704888312
10002.127268216,39.392866293,19.195627164,0.929428608,0.576738047,-0.120131670,-0.382079258,0.712009162
10002.160649613,39.427398905,19.198373036,0.933367451,0.568749035,-0.117398131,-0.381099355,0.719378548
10002.194509859,39.460118924,19.200591138,0.938105703,0.561255416,-0.115723068,-0.380432535,0.725859226
10002.227700447,39.489565172,19.202796800,0.945663190,0.553201617,-0.115444698,-0.379390615,0.732600337
10002.261647283,39.513572499,19.193072579,0.961302713,0.545407956,-0.115217723,-0.384030673,0.736053992
10002.294960182,39.550006590,19.199117995,0.966211423,0.538726578,-0.112204239,-0.380754306,0.743108364
10002.328274963,39.582886859,19.203156064,0.968447542,0.533489444,-0.107205931,-0.376556307,0.749734119
10002.361612644,39.610264026,19.204130069,0.967874267,0.529143408,-0.100856988,-0.371636893,0.756122439
10002.394873190,39.637898694,19.206752011,0.964523250,0.525271244,-0.093356936,-0.366065679,0.762476571
10002.428265630,39.657806335,19.206898542,0.956856553,0.522138727,-0.085085648,-0.360220709,0.768357094
10002.461611607,39.692668015,19.212096181,0.946242029,0.517895593,-0.075478728,-0.354325456,0.774945539
10002.495437667,39.726297088,19.209425629,0.935331267,0.517807008,-0.061146261,-0.346011845,0.780008231
10002.528813215,39.770964054,19.211199746,0.928836371,0.517904442,-0.045996254,-0.337580226,0.784664849
10002.562441911,39.822506563,19.216233769,0.922273145,0.516921683,-0.033725856,-0.330015501,0.789141501
10002.595794598,39.869881921,19.221764001,0.918317583,0.514835408,-0.025246842,-0.323044261,0.793693584
10002.629344275,39.902394816,19.199979364,0.917026340,0.514036725,-0.019958707,-0.317569902,0.796565913
10002.662697811,39.918354312,19.194498406,0.916247376,0.511637455,-0.019841360,-0.311403615,0.800538084
10002.695755855,39.947658581,19.197709667,0.920978679,0.507555526,-0.022371126,-0.305393350,0.805370612
10002.729030417,39.974288471,19.201858565,0.927593750,0.503445656,-0.026050685,-0.298823480,0.810289060
10002.762408465,39.987048495,19.188761223,0.935089347,0.501266764,-0.029292545,-0.292248450,0.813919174
10002.795876524,40.003507252,19.190394563,0.943765749,0.499084764,-0.030249933,-0.282907973,0.818512321
10002.829394103,40.024285763,19.194195864,0.951488331,0.498001081,-0.027221675,-0.271308314,0.823192385
10002.862882871,40.050219074,19.200050985,0.956836143,0.498178640,-0.020104245,-0.258036382,0.827545218
10002.896593915,40.058284778,19.200605406,0.962636673,0.499787100,-0.010935510,-0.243731154,0.831076647
10002.930107843,40.049923528,19.175747637,0.967579429,0.503716271,0.001491487,-0.228211257,0.833179042
10002.963486759,40.062703604,19.175132787,0.969015355,0.506739113,0.015740036,-0.212647510,0.835313570
10002.996786337,40.073485244,19.170591240,0.969684024,0.510020923,0.030046175,-0.197698373,0.836595027
10003.030023300,40.081826119,19.159479128,0.970445978,0.513122707,0.042476804,-0.184134723,0.837254569
10003.063267526,40.104549006,19.117613494,0.979620668,0.516086302,0.052546700,-0.172677370,0.837302991
10003.096342827,40.112752414,19.088083269,0.980752967,0.518030474,0.057095046,-0.163568295,0.837633569
10003.129537066,40.133296154,19.080306630,0.977123054,0.518497548,0.058673834,-0.155648912,0.838743757
10003.162833692,40.160841827,19.076641485,0.972051291,0.517988093,0.058287939,-0.149552313,0.840193405
10003.196089478,40.187621829,19.073222841,0.965786235,0.517144619,0.057259161,-0.144079224,0.841738682
10003.229445322,40.197169260,19.065460196,0.951248323,0.516759920,0.055859963,-0.139204000,0.842888543
10003.262802153,40.211989568,19.046626768,0.946640186,0.516197187,0.054659337,-0.136166031,0.843807818
10003.296304453,40.252431761,19.041848589,0.944252788,0.514776811,0.055029479,-0.132485891,0.845236109
10003.329624045,40.271786010,19.018070625,0.944030417,0.514074933,0.053800784,-0.130931513,0.845984265
10003.363011520,40.308379122,19.006745087,0.946834590,0.512592558,0.052108758,-0.130120067,0.847114110
10003.396390928,40.343176306,18.993666666,0.950679472,0.510886291,0.048871668,-0.130788785,0.848234078
10003.429752043,40.358644778,18.965437899,0.953856457,0.509469929,0.042742708,-0.133361075,0.849016063
10003.463140716,40.365974557,18.934272377,0.958548159,0.507703602,0.033713721,-0.137407312,0.849835083
10003.496513445,40.387627274,18.921246439,0.959669103,0.505159427,0.023918116,-0.141786058,0.850963331
10003.530004549,40.344279804,18.847586773,0.977556505,0.504778337,0.014016928,-0.146073701,0.850684918
10003.563477282,40.360167057,18.830459732,0.980889117,0.503038881,0.009198537,-0.147573641,0.851521751
10003.596989565,40.384539648,18.813083361,0.982540083,0.502969476,0.010755685,-0.147258415,0.851599072
10003.630576235,40.353697987,18.769452983,0.983087263,0.504467716,0.013044478,-0.146562114,0.850800630
10003.663969935,40.317537095,18.721432871,0.995541919,0.505681681,0.014997343,-0.149238941,0.849581577
10003.697267944,40.312239912,18.687926927,0.994744592,0.506654357,0.016534884,-0.149574738,0.848914223
10003.730690843,40.303329277,18.636551152,0.996838071,0.507783585,0.017345530,-0.149230177,0.848283748
10003.764056778,40.303386871,18.608388368,0.992158668,0.508231907,0.015726277,-0.151026406,0.847728753
10003.797509640,40.297570974,18.580729965,0.988397723,0.508452472,0.013045595,-0.152724301,0.847337704
10003.830925726,40.229050132,18.541013958,0.971846450,0.509553398,0.006128008,-0.158031106,0.845780085
10003.864296801,40.216264456,18.508109579,0.978211830,0.508998166,0.003036370,-0.159876688,0.845784306
10003.897679690,40.218588219,18.476027539,0.979952773,0.508994168,0.002126293,-0.159452092,0.845869639
10003.931127141,40.167428714,18.448094874,0.978988483,0.509245034,0.000140713,-0.160834851,0.845459418
10003.964439543,40.152258838,18.437537447,0.972808213,0.510133968,0.002185815,-0.158631781,0.845336924
10003.997846362,40.181091251,18.418899028,0.984584852,0.509566405,0.009200988,-0.152862919,0.846693775
10004.031230281,40.205353497,18.386365141,0.997064664,0.508565852,0.014356057,-0.148172785,0.848056309
10004.064565777,40.208629429,18.351465735,1.005816219,0.507210993,0.014657938,-0.145705306,0.849289184
10004.097930181,40.205650465,18.313428685,1.010436085,0.505467958,0.011363363,-0.144573977,0.850571210
10004.131368496,40.205972437,18.285888057,1.011612665,0.503050877,0.007323383,-0.143800424,0.852178163
10004.164768859,40.210735009,18.262846566,1.012145817,0.500574876,0.006483162,-0.141699213,0.853993030
10004.198264661,40.204708703,18.232930841,1.012949918,0.498462876,0.010158364,-0.138520599,0.855712342
10004.231770001,40.212396554,18.204288749,1.011473418,0.496476160,0.018727865,-0.132954458,0.857603523
10004.265178494,40.227070861,18.179554784,1.009015942,0.494444700,0.028791434,-0.126710783,0.859441603
10004.298622773,40.240230436,18.146317062,1.002881763,0.492477734,0.036846986,-0.121487894,0.861016070
10004.332022028,40.261107062,18.122436974,0.998889716,0.489941100,0.042555526,-0.117131637,0.862801788
10004.365387406,40.282662173,18.098821424,0.993652623,0.487176886,0.046811779,-0.113542156,0.864624495
10004.398780962,40.303756584,18.074417860,0.987130558,0.484313360,0.051122594,-0.110184896,0.866421571
10004.432198421,40.324880937,18.053979682,0.981062106,0.481154981,0.055954717,-0.107021951,0.868277177
10004.465564606,40.339859438,18.028324961,0.969690447,0.478230148,0.060254978,-0.104629533,0.869895352
10004.498910638,40.369541724,18.015673760,0.963976462,0.474798342,0.065293553,-0.101561997,0.871773163
10004.532378213,40.368223407,17.972579347,0.967119300,0.471529278,0.069933775,-0.100780763,0.873276958
10004.565677223,40.396471178,17.952231812,0.973593398,0.468004121,0.074149241,-0.099253062,0.874998779
10004.599017505,40.423243366,17.929262668,0.982462897,0.464332074,0.076003880,-0.098869546,0.876837470
10004.632375909,40.448053487,17.904750058,0.991070308,0.460087799,0.075644802,-0.099276330,0.879057047
10004.665741897,40.468019412,17.871552183,0.997494116,0.455808867,0.071908624,-0.100819723,0.881420904
