timestamp,ox,oy,oz,r1x,r1y,r1z,r2x,r2y,r2z
10002.502515,36.675381,21.063774,1.087142,-1440.135436,-1478.623927,-349.951438,-1762.437485,-1164.113391,-275.705160
10002.502515,36.675381,21.063774,1.087142,-1105.454730,-1726.141474,-407.821342,-1408.190874,-1505.466727,-360.432960
10002.535875,36.682248,21.036563,1.082732,-1439.693766,-1488.180539,-350.863600,-1779.535110,-1164.233056,-275.064386
10002.535875,36.682248,21.036563,1.082732,-1145.465819,-1703.006113,-405.133358,-1417.117006,-1506.687621,-358.369640
10002.569301,36.685887,21.009093,1.079544,-1455.608389,-1484.053294,-348.604324,-1787.712264,-1172.688865,-280.738732
10002.569301,36.685887,21.009093,1.079544,-538.558159,-2005.580778,-490.847668,-1099.556831,-1735.306287,-420.226625
10002.569301,36.685887,21.009093,1.079544,-1104.277779,-1732.221346,-408.823538,-1424.237711,-1509.615554,-363.808233
10002.602612,36.685060,20.982159,1.078558,-1466.099329,-1483.711398,-351.381177,-1802.746355,-1170.287990,-280.177559
10002.602612,36.685060,20.982159,1.078558,-685.503634,-1947.114696,-467.521734,-1108.345246,-1733.693411,-421.467112
10002.602612,36.685060,20.982159,1.078558,-1113.057072,-1730.632109,-410.071463,-1433.431522,-1509.857825,-361.988399
10002.635972,36.679270,20.958588,1.078413,-1470.567957,-1487.291970,-354.154165,-1809.847281,-1174.268287,-287.044332
10002.635972,36.679270,20.958588,1.078413,-569.768571,-1993.431334,-485.685632,-1112.108415,-1735.620977,-425.110727
10002.635972,36.679270,20.958588,1.078413,-1116.868869,-1732.548188,-413.743729,-1437.682590,-1513.376042,-364.410963
10002.669371,36.669600,20.936972,1.080605,-949.088768,-1830.353415,-448.199632,-1420.984544,-1531.941875,-370.395422
10002.669371,36.669600,20.936972,1.080605,-546.102042,-2004.890714,-492.707888,-943.164481,-1833.276720,-440.616086
10002.702715,36.660895,20.916184,1.084957,-1123.561875,-1738.058151,-416.426382,-1440.908164,-1522.193875,-370.851524
10002.736070,36.649658,20.897798,1.090783,-1474.079045,-1500.399145,-362.567388,-1723.802048,-1279.822736,-313.006673
10002.769440,36.638689,20.880212,1.098145,-589.067852,-2003.118680,-494.304584,-1112.653762,-1754.130564,-432.376535
10002.769440,36.638689,20.880212,1.098145,-1122.491264,-1748.093763,-424.927577,-1449.138703,-1525.277781,-378.875233
10002.802805,36.621028,20.867396,1.110699,-1491.277283,-1495.768454,-369.948890,-1822.455546,-1188.419909,-302.584282
10002.802805,36.621028,20.867396,1.110699,-593.517005,-2005.263256,-495.453559,-1119.573045,-1754.016305,-435.299861
10002.802805,36.621028,20.867396,1.110699,-1122.299961,-1752.221530,-429.841855,-1444.987695,-1532.606792,-383.335284
10002.836174,36.614778,20.847701,1.113616,-536.322504,-2025.135271,-503.730627,-988.832512,-1830.205430,-452.652659
10002.869561,36.611381,20.824838,1.118426,-722.223345,-1953.868033,-484.728589,-1110.454012,-1767.466104,-445.703970
10002.869561,36.611381,20.824838,1.118426,-1116.135178,-1763.921525,-434.955422,-1395.031166,-1585.970945,-397.729320
10002.902908,36.605747,20.802260,1.122562,-675.770768,-1970.330284,-495.942048,-1132.411566,-1760.248353,-445.472929
10002.902908,36.605747,20.802260,1.122562,-1135.276347,-1758.493207,-440.139802,-1482.081102,-1534.033358,-388.432323
10002.936280,36.603348,20.783376,1.121230,-651.605702,-1976.179163,-501.588347,-1113.238442,-1776.411084,-452.368329
10002.936280,36.603348,20.783376,1.121230,-1119.025307,-1773.070714,-441.721805,-1479.751423,-1549.991854,-394.868893
10002.969662,36.603166,20.759194,1.121445,-508.149073,-2017.005096,-520.786456,-1114.057456,-1782.805752,-456.873777
10002.969662,36.603166,20.759194,1.121445,-1119.873478,-1779.616299,-446.255048,-1492.648013,-1556.903494,-395.336584
10003.003022,36.602658,20.735295,1.120515,-507.065620,-2013.901274,-517.801679,-1126.504059,-1785.165133,-459.200037
10003.003022,36.602658,20.735295,1.120515,-1128.488128,-1783.997751,-449.284629,-1495.923736,-1572.763191,-401.091493
10003.036371,36.602257,20.707548,1.119097,-724.574262,-1950.893232,-494.044757,-1136.855343,-1788.396083,-460.304404
10003.069740,36.600018,20.677703,1.117921,-661.747030,-1970.774570,-501.918524,-1142.374350,-1792.180659,-460.961564
10003.103115,36.596637,20.651989,1.112872,-658.780823,-1972.740221,-500.262237,-1008.126562,-1854.532982,-470.387989
10003.136475,36.596638,20.622679,1.108829,-625.032169,-1982.563294,-511.091206,-1007.123887,-1857.151557,-473.146243
10003.169861,36.597561,20.597567,1.102877,-692.604312,-1965.891454,-497.562080,-1018.280490,-1855.085506,-475.475275
10003.203206,36.600806,20.569973,1.097058,-707.155310,-1963.470600,-500.166831,-1088.494430,-1828.293422,-470.168661
10003.236574,36.605238,20.532310,1.094764,-523.230725,-2011.442893,-521.863579,-966.939310,-1879.250080,-486.508912
10003.269943,36.610208,20.500042,1.089506,-558.114761,-2005.407482,-522.805586,-1041.569962,-1853.069698,-483.731144
10003.303384,36.617854,20.471263,1.085649,-544.464299,-2010.932848,-526.292149,-1023.347898,-1863.687343,-480.632601
10003.336672,36.622702,20.426966,1.086874,-655.960544,-1984.700842,-523.933228,-1034.393473,-1860.654782,-488.022359
10003.370045,36.631499,20.391095,1.088978,-752.436578,-1959.402843,-517.921107,-1201.970250,-1789.980449,-483.296742
10003.403407,36.639359,20.354534,1.092846,-660.600786,-1986.152727,-535.427941,-1054.005810,-1854.032209,-496.411407
10003.436769,36.647008,20.320535,1.095497,-722.748958,-1970.179355,-528.105071,-1069.954340,-1847.036607,-498.333376
10003.470142,36.652803,20.284134,1.097373,-760.719459,-1959.010051,-531.611844,-1065.311493,-1846.923282,-504.425105
10003.536878,36.663706,20.218158,1.098297,-740.192545,-1965.406302,-548.111388,-1085.100407,-1831.573244,-511.237902
10003.570286,36.671243,20.183639,1.098679,-729.749160,-1969.491631,-549.478708,-1094.377717,-1825.774165,-516.804510
10003.603615,36.678231,20.145877,1.098598,-691.454565,-1981.892995,-567.757040,-1075.005601,-1834.808961,-515.784145
10003.670376,36.697400,20.071447,1.098314,-752.300492,-1962.187368,-565.032698,-1099.654214,-1824.327072,-524.773689
10003.703704,36.705565,20.032128,1.095658,-745.013811,-1964.280261,-566.755998,-1096.287408,-1825.588068,-524.149396
10003.737077,36.712661,19.993226,1.091700,-718.198801,-1972.400994,-576.705221,-1100.701636,-1822.516429,-523.746538
10003.770451,36.719075,19.952018,1.087679,-800.808843,-1944.167431,-561.284559,-1115.050730,-1814.571673,-527.452933
10003.837186,36.726295,19.871421,1.077474,-777.168076,-1951.477785,-565.671706,-1134.053239,-1802.229797,-526.905344
10003.870545,36.728894,19.831752,1.073598,-729.042748,-1967.951081,-581.586560,-1113.234707,-1811.540337,-528.679237
10003.903911,36.731542,19.792048,1.071737,-726.545015,-1969.345062,-589.545378,-1027.251642,-1852.010555,-534.772443
10003.937299,36.736382,19.751739,1.072417,-733.191148,-1968.356749,-589.628451,-1116.520944,-1812.486671,-528.750236
10003.970643,36.740413,19.712133,1.077412,-738.892626,-1968.147435,-593.679995,-1135.356396,-1807.329639,-536.990074
10004.104106,36.754372,19.554316,1.105328,-744.327899,-1977.720849,-626.654686,-1098.999987,-1841.276956,-568.067920
10004.204214,36.764085,19.457305,1.105162,-799.894387,-1972.330147,-626.002936,-1130.825861,-1840.634707,-577.965604
10004.204214,36.764085,19.457305,1.105162,217.774571,-2130.164656,-287.929705,-182.177692,-2101.486416,-284.972910
10004.237591,36.770864,19.425920,1.100977,-788.399348,-1983.236664,-638.894267,-1194.982935,-1821.284915,-572.035569
10004.237591,36.770864,19.425920,1.100977,244.314319,-2128.700218,-293.154336,-186.035978,-2102.434543,-286.242168
10004.270940,36.778263,19.391931,1.096115,218.436700,-2126.212843,-290.423481,-190.123123,-2103.467889,-287.527668
10004.304306,36.785406,19.359969,1.089982,-847.421902,-1980.356280,-630.495881,-1226.458179,-1830.862364,-581.502779
10004.304306,36.785406,19.359969,1.089982,235.234596,-2124.688039,-288.556704,-195.964933,-2105.015843,-288.194384
10004.337692,36.792152,19.329481,1.083101,398.423632,-2119.201858,-312.482549,-196.953038,-2106.995265,-280.120477
10004.337692,36.792152,19.329481,1.083101,812.883083,-2058.682880,-289.922657,276.611704,-2124.266372,-292.383715
10004.371040,36.800248,19.298030,1.074919,398.500785,-2119.918464,-309.587253,-188.994319,-2111.474573,-282.994386
10004.404413,36.809678,19.266713,1.065556,397.872274,-2120.868934,-306.517590,-211.978411,-2112.833236,-284.306002
10004.404413,36.809678,19.266713,1.065556,801.407306,-2059.354486,-286.592298,270.485224,-2127.824831,-293.954375
10004.437795,36.821706,19.233929,1.055123,398.306283,-2122.108381,-308.058124,-210.365974,-2116.436762,-279.938635
10004.437795,36.821706,19.233929,1.055123,810.538877,-2056.617673,-287.961299,267.767447,-2129.173014,-289.452589
10004.471144,36.833649,19.200420,1.045437,237.303667,-2132.243564,-286.873072,-202.815039,-2121.885229,-286.351418
10004.471144,36.833649,19.200420,1.045437,810.466244,-2055.706114,-286.214723,388.965906,-2122.093414,-287.652690
10004.504512,36.846503,19.167290,1.037936,240.536540,-2134.509062,-288.954637,-195.385114,-2126.888740,-287.892940
10004.504512,36.846503,19.167290,1.037936,809.490337,-2055.214200,-284.575035,401.410490,-2122.458924,-288.379017
10004.537908,36.861282,19.134365,1.034015,389.702214,-2128.014423,-309.765360,-197.981049,-2131.161843,-285.703254
10004.537908,36.861282,19.134365,1.034015,806.983700,-2055.491839,-282.183337,398.642528,-2124.730576,-288.481910
10004.571244,36.876828,19.094520,1.035375,811.279883,-2055.619275,-284.807154,267.877573,-2139.111213,-295.041311
10004.604613,36.890934,19.059409,1.039312,806.292877,-2060.292755,-287.222691,263.040200,-2143.519618,-295.798477
10004.637996,36.904280,19.022264,1.043409,799.217059,-2067.848149,-289.440344,255.890825,-2149.705895,-297.495510
10004.671358,36.914605,18.986807,1.046942,799.823058,-2076.687660,-291.560998,301.840954,-2153.329138,-294.267860
10004.704710,36.921948,18.950637,1.050146,804.876454,-2086.576440,-290.159709,305.047179,-2162.040278,-298.427334
10004.738121,36.927621,18.915717,1.052847,185.768857,-2175.915367,-298.999276,-254.018062,-2158.603327,-301.359475
10004.738121,36.927621,18.915717,1.052847,810.184745,-2097.784514,-296.376497,390.797396,-2164.185904,-301.848022
10004.771441,36.932634,18.883947,1.054894,198.445245,-2181.801284,-305.504782,-249.783241,-2163.194541,-306.089204
10004.771441,36.932634,18.883947,1.054894,823.905745,-2103.822066,-303.870529,251.798179,-2179.995051,-306.113560
10004.804820,36.939226,18.848742,1.056242,813.139922,-2109.986534,-304.630749,316.206190,-2179.937347,-310.259040
10004.838211,36.945106,18.814675,1.056944,229.535574,-2185.478134,-312.889705,-227.369704,-2168.486839,-308.245225
10004.838211,36.945106,18.814675,1.056944,820.955074,-2110.114461,-307.365420,255.795404,-2184.834974,-315.669560
10004.871537,36.950776,18.775423,1.055846,822.505705,-2111.484089,-309.822000,252.752108,-2185.543227,-317.176876
10004.904902,36.955697,18.730986,1.053100,208.273167,-2187.279848,-313.155268,-261.004681,-2163.450870,-310.297916
10004.904902,36.955697,18.730986,1.053100,818.500751,-2114.919765,-304.374504,387.566166,-2178.308068,-312.580970
10004.938344,36.957117,18.687609,1.049549,216.928219,-2189.273351,-314.199220,-265.074027,-2162.094961,-311.723343
10004.938344,36.957117,18.687609,1.049549,818.106416,-2121.513377,-307.800097,306.169312,-2186.512054,-314.936433
10004.971640,36.954538,18.648444,1.045205,217.544649,-2191.651225,-314.036489,-263.786131,-2160.875134,-311.394100
10004.971640,36.954538,18.648444,1.045205,832.451489,-2126.373275,-311.552094,248.231970,-2191.600284,-317.326605
10005.005009,36.952609,18.606614,1.040843,204.309432,-2194.015442,-313.647154,-254.451800,-2161.059660,-311.492681
10005.005009,36.952609,18.606614,1.040843,828.227862,-2134.123629,-310.534248,324.584676,-2192.149827,-315.722402
10005.038446,36.951244,18.558949,1.036740,203.525679,-2195.685893,-315.771373,-249.820611,-2160.261320,-310.190387
10005.038446,36.951244,18.558949,1.036740,841.577667,-2136.718267,-309.947771,323.908233,-2194.372502,-316.417723
10005.071739,36.947364,18.518956,1.034078,848.026492,-2137.707679,-312.057013,389.549420,-2191.795616,-314.971923
10005.105106,36.943899,18.474435,1.034157,208.140263,-2193.141704,-318.783237,-226.751592,-2158.826340,-310.697246
